City_id,City,Latitude,Longitude,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Description
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-20,26,4,3,58,7.44,01d,☀️,Ciel dégagé (jour)
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-21,26,3,2,37,8.0,01d,☀️,Ciel dégagé (jour)
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-22,26,3,2,92,8.0,10d,🌦️,Pluie intermittente
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-23,30,3,2,122,8.0,01d,☀️,Ciel dégagé (jour)
FR000011,Colmar,48.0777517,7.3579641,2025-06-16,24,5,3,51,7.91,02d,🌤️,Peu nuageux (jour)
FR000011,Colmar,48.0777517,7.3579641,2025-06-17,26,5,3,32,8.47,01d,☀️,Ciel dégagé (jour)
FR000011,Colmar,48.0777517,7.3579641,2025-06-18,28,3,2,313,8.59,04d,☁️,Couvert
FR000011,Colmar,48.0777517,7.3579641,2025-06-19,28,5,3,28,8.36,01d,☀️,Ciel dégagé (jour)
FR000011,Colmar,48.0777517,7.3579641,2025-06-20,28,4,3,18,7.44,01d,☀️,Ciel dégagé (jour)
FR000011,Colmar,48.0777517,7.3579641,2025-06-21,29,3,2,350,8.0,01d,☀️,Ciel dégagé (jour)
FR000011,Colmar,48.0777517,7.3579641,2025-06-22,28,3,2,88,8.0,10d,🌦️,Pluie intermittente
FR000011,Colmar,48.0777517,7.3579641,2025-06-23,34,3,2,132,8.0,01d,☀️,Ciel dégagé (jour)
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-16,24,4,3,55,7.91,02d,🌤️,Peu nuageux (jour)
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-17,25,5,3,32,8.47,01d,☀️,Ciel dégagé (jour)
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-18,27,2,2,302,8.59,04d,☁️,Couvert
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-19,28,5,3,28,8.36,01d,☀️,Ciel dégagé (jour)
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-20,28,4,3,12,7.44,01d,☀️,Ciel dégagé (jour)
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-21,28,3,2,346,8.0,02d,🌤️,Peu nuageux (jour)
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-22,28,3,2,90,8.0,10d,🌦️,Pluie intermittente
FR000012,Eguisheim,48.0447968,7.3079618,2025-06-23,33,3,2,141,8.0,01d,☀️,Ciel dégagé (jour)
FR000013,Besancon,47.2380222,6.0243622,2025-06-16,24,5,3,11,7.74,10d,🌦️,Pluie intermittente
FR000013,Besancon,47.2380222,6.0243622,2025-06-17,26,6,4,43,8.61,01d,☀️,Ciel dégagé (jour)
FR000013,Besancon,47.2380222,6.0243622,2025-06-18,28,4,3,350,8.66,02d,🌤️,Peu nuageux (jour)
FR000013,Besancon,47.2380222,6.0243622,2025-06-19,30,5,3,31,8.45,01d,☀️,Ciel dégagé (jour)
FR000013,Besancon,47.2380222,6.0243622,2025-06-20,30,5,3,33,8.11,01d,☀️,Ciel dégagé (jour)
FR000013,Besancon,47.2380222,6.0243622,2025-06-21,30,3,2,332,9.0,03d,⛅,Nuages épars
FR000013,Besancon,47.2380222,6.0243622,2025-06-22,31,3,2,158,9.0,10d,🌦️,Pluie intermittente
FR000013,Besancon,47.2380222,6.0243622,2025-06-23,32,4,3,260,9.0,01d,☀️,Ciel dégagé (jour)
FR000014,Dijon,47.3215806,5.0414701,2025-06-16,24,5,3,40,8.25,01d,☀️,Ciel dégagé (jour)
FR000014,Dijon,47.3215806,5.0414701,2025-06-17,25,5,3,46,8.7,01d,☀️,Ciel dégagé (jour)
FR000014,Dijon,47.3215806,5.0414701,2025-06-18,27,4,3,35,8.81,01d,☀️,Ciel dégagé (jour)
FR000014,Dijon,47.3215806,5.0414701,2025-06-19,28,4,3,55,8.65,01d,☀️,Ciel dégagé (jour)
FR000014,Dijon,47.3215806,5.0414701,2025-06-20,28,5,3,61,8.29,01d,☀️,Ciel dégagé (jour)
FR000014,Dijon,47.3215806,5.0414701,2025-06-21,29,3,2,14,9.0,01d,☀️,Ciel dégagé (jour)
FR000014,Dijon,47.3215806,5.0414701,2025-06-22,30,3,2,183,9.0,10d,🌦️,Pluie intermittente
FR000014,Dijon,47.3215806,5.0414701,2025-06-23,31,3,2,184,9.0,10d,🌦️,Pluie intermittente
FR000015,Annecy,45.8992348,6.1288847,2025-06-16,25,5,3,6,7.57,04d,☁️,Couvert
FR000015,Annecy,45.8992348,6.1288847,2025-06-17,25,3,2,347,8.89,02d,🌤️,Peu nuageux (jour)
FR000015,Annecy,45.8992348,6.1288847,2025-06-18,28,3,2,357,9.15,01d,☀️,Ciel dégagé (jour)
FR000015,Annecy,45.8992348,6.1288847,2025-06-19,28,3,2,354,8.87,01d,☀️,Ciel dégagé (jour)
FR000015,Annecy,45.8992348,6.1288847,2025-06-20,29,3,2,344,8.96,01d,☀️,Ciel dégagé (jour)
FR000015,Annecy,45.8992348,6.1288847,2025-06-21,32,2,2,239,9.0,10d,🌦️,Pluie intermittente
FR000015,Annecy,45.8992348,6.1288847,2025-06-22,32,2,2,278,9.0,10d,🌦️,Pluie intermittente
FR000015,Annecy,45.8992348,6.1288847,2025-06-23,31,2,2,260,9.0,01d,☀️,Ciel dégagé (jour)
FR000016,Grenoble,45.1875602,5.7357819,2025-06-16,27,4,3,332,6.49,10d,🌦️,Pluie intermittente
FR000016,Grenoble,45.1875602,5.7357819,2025-06-17,29,3,2,334,8.81,01d,☀️,Ciel dégagé (jour)
FR000016,Grenoble,45.1875602,5.7357819,2025-06-18,30,3,2,325,9.07,01d,☀️,Ciel dégagé (jour)
FR000016,Grenoble,45.1875602,5.7357819,2025-06-19,31,3,2,323,8.81,02d,🌤️,Peu nuageux (jour)
FR000016,Grenoble,45.1875602,5.7357819,2025-06-20,33,2,2,320,8.95,01d,☀️,Ciel dégagé (jour)
FR000016,Grenoble,45.1875602,5.7357819,2025-06-21,32,3,2,124,9.0,10d,🌦️,Pluie intermittente
FR000016,Grenoble,45.1875602,5.7357819,2025-06-22,34,2,2,316,9.0,10d,🌦️,Pluie intermittente
FR000016,Grenoble,45.1875602,5.7357819,2025-06-23,34,2,2,310,9.0,01d,☀️,Ciel dégagé (jour)
FR000017,Lyon,45.7578137,4.8320114,2025-06-16,26,6,4,353,8.64,03d,⛅,Nuages épars
FR000017,Lyon,45.7578137,4.8320114,2025-06-17,27,4,3,340,8.9,01d,☀️,Ciel dégagé (jour)
FR000017,Lyon,45.7578137,4.8320114,2025-06-18,29,4,3,12,9.03,01d,☀️,Ciel dégagé (jour)
FR000017,Lyon,45.7578137,4.8320114,2025-06-19,31,3,2,2,8.81,03d,⛅,Nuages épars
FR000017,Lyon,45.7578137,4.8320114,2025-06-20,33,3,2,34,8.69,01d,☀️,Ciel dégagé (jour)
FR000017,Lyon,45.7578137,4.8320114,2025-06-21,36,4,3,176,9.0,10d,🌦️,Pluie intermittente
FR000017,Lyon,45.7578137,4.8320114,2025-06-22,32,6,4,206,9.0,01d,☀️,Ciel dégagé (jour)
FR000017,Lyon,45.7578137,4.8320114,2025-06-23,35,3,2,160,9.0,02d,🌤️,Peu nuageux (jour)
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-16,27,4,3,235,8.96,01d,☀️,Ciel dégagé (jour)
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-17,26,6,4,198,8.88,04d,☁️,Couvert
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-18,28,5,3,206,9.3,03d,⛅,Nuages épars
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-19,29,4,3,191,9.28,03d,⛅,Nuages épars
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-20,29,4,3,175,9.26,02d,🌤️,Peu nuageux (jour)
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-21,29,6,4,185,10.0,01d,☀️,Ciel dégagé (jour)
