City_id,City,City_lat,City_long,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Weather_description
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-09,24,3,2,80,7.66,03d,⛅,Nuages épars
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-10,26,4,3,53,7.9,01d,☀️,Ciel dégagé
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-11,27,4,3,42,7.86,01d,☀️,Ciel dégagé
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-12,29,3,2,72,7.5,01d,☀️,Ciel dégagé
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-13,31,3,2,334,8.0,02d,🌤️,Peu nuageux
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-14,31,4,3,303,8.0,01d,☀️,Ciel dégagé
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-15,31,4,3,324,8.0,01d,☀️,Ciel dégagé
FR000013,Besancon,47.2380222,6.0243622,2025-07-08,20,3,2,278,6.09,10d,🌦️,Pluie intermittente
FR000013,Besancon,47.2380222,6.0243622,2025-07-09,24,3,2,29,7.82,01d,☀️,Ciel dégagé
FR000013,Besancon,47.2380222,6.0243622,2025-07-10,27,4,3,39,8.05,01d,☀️,Ciel dégagé
FR000013,Besancon,47.2380222,6.0243622,2025-07-11,28,5,3,46,8.11,01d,☀️,Ciel dégagé
FR000013,Besancon,47.2380222,6.0243622,2025-07-12,29,2,2,68,7.93,01d,☀️,Ciel dégagé
FR000013,Besancon,47.2380222,6.0243622,2025-07-13,31,3,2,164,8.0,01d,☀️,Ciel dégagé
FR000013,Besancon,47.2380222,6.0243622,2025-07-14,33,4,3,293,8.0,10d,🌦️,Pluie intermittente
FR000013,Besancon,47.2380222,6.0243622,2025-07-15,32,4,3,354,8.0,01d,☀️,Ciel dégagé
FR000014,Dijon,47.3215806,5.0414701,2025-07-08,20,6,4,287,6.95,10d,🌦️,Pluie intermittente
FR000014,Dijon,47.3215806,5.0414701,2025-07-09,25,5,3,19,8.08,01d,☀️,Ciel dégagé
FR000014,Dijon,47.3215806,5.0414701,2025-07-10,28,5,3,32,8.13,01d,☀️,Ciel dégagé
FR000014,Dijon,47.3215806,5.0414701,2025-07-11,30,5,3,34,8.24,01d,☀️,Ciel dégagé
FR000014,Dijon,47.3215806,5.0414701,2025-07-12,31,4,3,57,8.07,01d,☀️,Ciel dégagé
FR000014,Dijon,47.3215806,5.0414701,2025-07-13,33,3,2,344,9.0,01d,☀️,Ciel dégagé
FR000014,Dijon,47.3215806,5.0414701,2025-07-14,34,6,4,339,9.0,01d,☀️,Ciel dégagé
FR000014,Dijon,47.3215806,5.0414701,2025-07-15,33,7,4,354,9.0,02d,🌤️,Peu nuageux
FR000015,Annecy,45.8992348,6.1288847,2025-07-08,24,3,2,348,7.19,10d,🌦️,Pluie intermittente
FR000015,Annecy,45.8992348,6.1288847,2025-07-09,23,4,3,3,8.78,01d,☀️,Ciel dégagé
FR000015,Annecy,45.8992348,6.1288847,2025-07-10,25,4,3,356,8.53,01d,☀️,Ciel dégagé
FR000015,Annecy,45.8992348,6.1288847,2025-07-11,27,3,2,356,8.49,01d,☀️,Ciel dégagé
FR000015,Annecy,45.8992348,6.1288847,2025-07-12,29,2,2,297,8.45,01d,☀️,Ciel dégagé
FR000015,Annecy,45.8992348,6.1288847,2025-07-13,30,2,2,240,9.0,10d,🌦️,Pluie intermittente
FR000015,Annecy,45.8992348,6.1288847,2025-07-14,31,2,2,308,9.0,10d,🌦️,Pluie intermittente
FR000015,Annecy,45.8992348,6.1288847,2025-07-15,30,4,3,3,9.0,01d,☀️,Ciel dégagé
FR000016,Grenoble,45.1875602,5.7357819,2025-07-08,27,6,4,349,7.56,10d,🌦️,Pluie intermittente
FR000016,Grenoble,45.1875602,5.7357819,2025-07-09,26,3,2,341,8.83,01d,☀️,Ciel dégagé
FR000016,Grenoble,45.1875602,5.7357819,2025-07-10,27,3,2,340,8.51,01d,☀️,Ciel dégagé
FR000016,Grenoble,45.1875602,5.7357819,2025-07-11,30,3,2,334,8.68,01d,☀️,Ciel dégagé
FR000016,Grenoble,45.1875602,5.7357819,2025-07-12,32,2,2,321,8.43,01d,☀️,Ciel dégagé
FR000016,Grenoble,45.1875602,5.7357819,2025-07-13,32,2,2,316,9.0,10d,🌦️,Pluie intermittente
FR000016,Grenoble,45.1875602,5.7357819,2025-07-14,33,5,3,223,9.0,10d,🌦️,Pluie intermittente
FR000016,Grenoble,45.1875602,5.7357819,2025-07-15,32,5,3,349,9.0,01d,☀️,Ciel dégagé
FR000017,Lyon,45.7578137,4.8320114,2025-07-08,24,6,4,349,6.79,10d,🌦️,Pluie intermittente
FR000017,Lyon,45.7578137,4.8320114,2025-07-09,26,5,3,11,8.78,01d,☀️,Ciel dégagé
FR000017,Lyon,45.7578137,4.8320114,2025-07-10,29,5,3,1,8.45,01d,☀️,Ciel dégagé
FR000017,Lyon,45.7578137,4.8320114,2025-07-11,31,3,2,0,8.64,01d,☀️,Ciel dégagé
FR000017,Lyon,45.7578137,4.8320114,2025-07-12,33,4,3,44,8.4,01d,☀️,Ciel dégagé
FR000017,Lyon,45.7578137,4.8320114,2025-07-13,35,5,3,252,9.0,10d,🌦️,Pluie intermittente
FR000017,Lyon,45.7578137,4.8320114,2025-07-14,34,4,3,32,9.0,03d,⛅,Nuages épars
FR000017,Lyon,45.7578137,4.8320114,2025-07-15,35,5,3,9,9.0,01d,☀️,Ciel dégagé
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-08,23,11,6,313,8.51,01d,☀️,Ciel dégagé
